Artist,Title,Year (Approximate),Movement,Total Height (cm),Total Width (cm),Total Height (in),Total Width (in),Media,Location,"City, State",Country,Date of Birth,Date of Death,Image
Georges Seurat,A Sunday Afternoon on the Island of La Grande Jatte,1886,"Post-Impressionist, Neo-Impressionist, Pointillist",207.60,308.00,81.73,121.26,oil paint,Art Institute of Chicago,"Chicago, IL",USA,12/2/1859,3/29/1891,Images\A Sunday Afternoon on the Island of La Grande Jatte.jpg
Giacomo Balla,Abstract Speed and Sound,1914,Futurism,54.61,76.52,21.50,30.13,oil paint,Guggenheim Museum,"Manhattan, NY",USA,7/18/1871,3/1/1958,Images\Abstract Speed and Sound.jpg
Lucas Cranach the Elder,Adam and Eve in Paradise,1531,German Renaissance,50.40,35.50,19.84,13.98,oil paint,Gemäldegalerie,Berlin,Germany,10/4/1472,10/16/1553,Images\Adam and Eve in Paradise.jpg
Hugo van der Goes,Adoration of the Kings,1470,Northern Renaissance,147.00,242.00,57.87,95.28,oil paint,Gemaldegalerie,Berlin,Germany,1440,1483,Images\Adoration of the Kings.jpg
Grant Wood,American Gothic,1930,Regionalist,74.30,62.40,29.25,24.57,oil paint,Art Institute of Chicago,"Chicago, IL",USA,2/13/1891,2/12/1942,Images\American Gothic.jpg
Kazimir Malevich,An Englishman in Moscow,1914,Suprematist,88.00,57.00,34.65,22.44,oil paint,Stedelijk Museum,Amsterdam,Netherlands,2/23/1879,5/15/1935,Images\An Englishman in Moscow.jpg
Joseph Wright of Derby,An Experiment on a Bird in the Air Pump,1768,,183.00,244.00,72.05,96.06,oil paint,National Gallery,"London, England",United Kingdom,9/3/1734,8/29/1797,Images\An Experiment on a Bird in the Air Pump.jpg
Piet Mondrian,Apple Tree in Bloom,1912,De Stijl,78.50,107.50,30.91,42.32,oil paint,Gemeentemuseum Den Haag,The Hague,Netherlands,3/7/1872,2/1/1944,Images\Apple Tree in Bloom.jpg
Edvard Munch,Ashes,1894,Expressionist,120.50,141.00,47.44,55.51,oil paint,National Gallery,Oslo,Norway,12/12/1863,1/23/1944,Images\Ashes.jpg
Jean Metzinger,At the Cycle-Race Track,1914,"Neo-Impresionist, Divisionist, Fauvist, Cubist",130.40,97.10,51.34,38.23,oil paint and collage,Peggy Guggenheim Collection,Venice,Italy,,,Images\At the Cycle-Race Track.jpg
Max Ernst,Attirement of the Bride,1939,"Dada, Surrealist",129.60,96.30,51.02,37.91,oil paint,Peggy Guggenheim Collection,Venice,Italy,4/2/1891,4/1/1976,Images\Attirement of the Bride.jpg
Jackson Pollock,Autumn Rhythm,1950,Abstract Expressionist,105.00,207.00,41.34,81.50,enamel,Metropolitan Museum of Art,"New York City, NY",USA,1/28/1912,8/11/1956,Images\Autumn Rhythm.jpg
Titian,Bacchanal of the Andrians,1524,High Renaissance,175.00,193.00,68.90,75.98,oil paint,Museo del Prado,Madrid,Spain,1488,8/27/1576,Images\Bacchanal of the Andrians.jpg
Jacopo Tintoretto,"Bacchus, Venus and Ariadne",1576,Renaissance,146.00,167.00,57.48,65.75,oil paint,Palazzo Ducale,Venice,Italy,9/29/1518,5/31/1594,"Images\Bacchus, Venus and Ariadne.jpg"
Oskar Schlemmer,Banister Scene I,1931,Bauhaus,,,0.00,0.00,watercolor,"Forberg Collection, Albertina",Vienna,Austria,11/4/1888,4/13/1943,Images\Banister Scene I.jpg
Joachim Patinir,Baptism of Christ,1515,Northern Renaissance,59.50,77.00,23.43,30.31,oil paint,Kunthistorisches Museum,Vienna,Austria,1480,10/5/1524,Images\Baptism of Christ.jpg
Henri Matisse,Bathers by a River,1917,Cubist,260.00,390.00,102.36,153.54,oil paint,Art Institute of Chicago,"Chicago, IL",USA,12/31/1869,11/3/1954,Images\Bathers by a River.jpg
Sebastiano Ricci,Bathsheba in her Bath,1720,Baroque,118.50,199.00,46.65,78.35,oil paint,Szépmuveszeti Muzeum,Budapest,Hungary,8/1/1659,5/15/1734,Images\Bathsheba in her Bath.jpg
Morris Louis,Beta Kappa,1961,"Abstract Expressionist, Color Field",262.30,439.40,103.27,172.99,acrylic paint,National Gallery of Art,"Washington, D.C.",USA,11/28/1912,11/7/1962,Images\Beta Kappa.jpg
Lyonel Feininger,Bird Cloud,1926,Expressionist,43.80,71.10,17.24,27.99,oil paint,Harvard Art Museum,"Cambridge, MA",USA,7/17/1871,1/13/1956,Images\Bird Cloud.jpg
Henri Matisse,Blue Nude II,1907,Fauvist,116.20,88.90,45.75,35.00,gouache-painted paper,Pompidou Centre,Paris,France,12/31/1869,11/3/1954,Images\Blue Nude II.jpg
Juan Gris,Breakfast,1915,Cubist,92.00,73.00,36.22,28.74,oil paint and charcoal,Musée National d'Art Moderne,Paris,France,3/3/1887,5/11/1927,Images\Breakfast.jpg
Franz Kline,C & O,1958,Abstract Expressionist,195.60,279.40,77.01,110.00,oil paint,National Gallery of Art,"Washington, D.C.",USA,5/23/1910,5/13/1962,Images\C & O.jpg
Vincent van Gogh,Café Terrace at Night,1888,Post-Impressionist,81.00,65.50,31.89,25.79,oil paint,Kröller-Müller Museum,Otterlo,Netherlands,3/30/1853,7/29/1890,Images\Cafe Terrace at Night.jpg
Robert Delaunay,Champs de Mars,1911,"Orphist, Cubist, Expressionist",160.70,128.60,63.27,50.63,oil paint,Art Institute of Chicago,"Chicago, IL",USA,4/12/1885,10/25/1941,Images\Champs de Mars.jpg
Andrew Wyeth,Christina's World,1948,Realist,81.90,121.30,32.24,47.76,tempera,Museum of Modern Art,"New York City, NY",USA,7/12/1917,1/16/2009,Images\Christina's World.jpg
Dong Qichang,Clear Weather in the Valley,1150,,37.50,150.80,14.76,59.37,ink and color,Museum of Fine Arts,"Boston, MA",USA,1555,1640,Images\Clear Weather in the Valley.jpg
Lucio Fontana,Concetto Spaziale,1957,Spatialist,48.30,68.00,19.02,26.77,gouache and graphite,Private Collection,,,2/19/1899,11/7/1968,Images\Concetto Spaziale.jpg
Matthias Grünewald,Crucifixion from the Isenheim Altarpiece,1515,German Renaissance,336.00,589.00,132.28,231.89,oil paint,Musée d'Unterlinden,Colmar,France,1470,8/31/1528,Images\Crucifixion from the Isenheim Altarpiece.jpg
Hannah Höch,Cut with the Kitchen Knife through the Beer-Belly of the Weimar Republic,1919,Dada,90.00,144.00,35.43,56.69,collage,Staatliche Museen,Berlin,Germany,11/1/1889,5/31/1978,Images\Cut with the Kitchen Knife through the Beer-Belly of the Weimar Republic.jpg
Hans Baldung Grien,Death and the Maiden,1517,Mannerist,30.30,14.70,11.93,5.79,varnished tempera,Kunstmuseum Basel,Basel,Switzerland,c. 1484,1545,Images\Death and the Maiden.jpg
Titian,Diana and Callisto,1559,High Renaissance,187.00,204.50,73.62,80.51,oil paint,National Gallery,"London, England",United Kingdom,1488,8/27/1576,Images\Diana and Callisto.jpg
Paul Nash,Landscape from a Dream,1938,Surrealist,67.90,101.60,26.73,40.00,oil paint,Hamburger Kunsthalle,Hamburg,Germany,5/11/1889,7/11/1946,Images\Landscape from a Dream.jpg
Joan Miró,Dutch Interior I,1928,"Surrealism, Dada",91.80,73.00,36.14,28.74,oil paint,Museum of Modern Art,"New York City, NY",USA,4/20/1893,12/25/1983,Images\Dutch Interior I.jpg
Sonia Delaunay-Terk,Electric Prisms,1914,Orphist,250.00,250.00,98.43,98.43,oil paint,Centre Pompidou,Paris,France,11/14/1885,12/5/1979,Images\Electric Prisms.jpg
Giuseppe Arcimboldo ,Fire,1566,,67.00,51.00,26.38,20.08,oil paint,Kunsthistorisches Museum,"Gemäldegalerie, Vienna",Austria,1527,1593,Images\Fire.jpg
Ernst Ludwig Kirchner,Five Women on the Street,1913,Expressionist,48.50,37.00,19.09,14.57,wood cut,National Gallery of Art,"Washington, D.C.",USA,5/6/1880,6/15/1938,Images\Five Women on the Street.jpg
"Jasper Johns, Jr.",Flag,1955,"Abstract Expressionist, Neo-Dada, Pop Art",107.32,153.87,42.25,60.58,"encaustic, oil paint, and collage on fabric",Museum of Modern Art,"New York City, NY",USA,5/15/1930,,Images\Flag.jpg
Otto Dix,Flanders,1936,Neue Sachlichkeit,198.12,248.92,78.00,98.00,,"Nationalgalerie, Staatliche Museen zu Berlin",Berlin,Germany,12/2/1891,7/25/1969,Images\Flanders.jpg
Jan Matsys,Flora,1559,,113.20,112.90,44.57,44.45,oil paint,Hamburger Kunsthalle,Hamburg,Germany,1509,10/81575,Images\Flora.jpg
Roy Lichtenstein,Girl with Hair Ribbon,1965,Pop Artist,121.90,121.90,47.99,47.99,oil paint and magna,Museum of Contemporary Art,Tokyo,Japan,10/27/1923,11/29/1997,Images\Girl with Hair Ribbon.jpg
Pablo Picasso,Guernica,1937,Cubism,349.00,776.00,137.40,305.51,oil paint,Museo Reina Sofia,Madrid,Spain,10/25/1881,4/8/1973,Images\Guernica.jpg
Josef Albers,Homage to the Square,1965,Geometric abstraction,61.00,61.00,24.02,24.02,acrylic paint,Detroit Institute of Arts,"Detroit, MI",USA,3/19/1888,3/25/1976,Images\Homage to the Square.jpg
Marc Chagall,I and the Village,1911,"Surrealist, Expressionist",192.10,151.40,75.63,59.61,oil paint,Museum of Modern Art,"New York City, NY",USA,7/7/1887,3/28/1985,Images\I and the Village.jpg
Emilio Vedova,Image of Time (Barrier),1951,Italian Modernist,130.50,170.40,51.38,67.09,tempera,Peggy Guggenheim Collection,Venice,Italy,8/9/1919,10/25/2006,Images\Image of Time (Barrier).jpg
Wassily Kandinsky,Improvisation 6 (African),1910,"Expressionist, Abstract Artist",107.00,99.50,42.13,39.17,oil paint,Städtische Galerie im Lenbachhaus,Munich,Germany,12/16/1866,12/13/1944,Images\Improvisation 6 (African).jpg
Pieter Saenredam,Interior of Grote Kerk in Haarlem,1637,Dutch Golden Age,,,0.00,0.00,oil paint,National Gallery,"London, England",United Kingdom,6/9/1597,5/31/1665,Images\Interior of Grote Kerk in Haarlem.jpg
Georgia O'Keeffe,Jack-in-the-Pulpit No. IV,1930,American Modernist,101.60,76.20,40.00,30.00,oil paint,"Alfred Stieglitz Collection, Carl Van Vechten Gallery","Nashville, TN",USA,1/15/1887,3/6/1986,Images\Jack-in-the-Pulpit No. IV.jpg
Geertgen tot Sint Jans,John the Baptist in the Wilderness,1490,Early Netherlandish Renaissance,42.00,28.00,16.54,11.02,oil paint,Museum Gemäldegalerie der Staatlichen Museen,Munich,Germany,1465,1495,Images\John the Baptist in the Wilderness.jpg
William Turner,"La Dogana and Santa Maria della Salute, Venice",1843,Romantic,62.00,93.00,24.41,36.61,oil paint,National Gallery of Art,"Washington, D.C.",USA,4/23/1775,12/19/1851,"Images\La Dogana and Santa Maria della Salute, Venice.jpg"
Paul Cézanne,La Montagne Sainte-Victoire,1887,Post-Impressionist,67.00,92.00,26.38,36.22,oil paint,"Courtauld Institute of Art, University of London","London, England",United Kingdom,1/19/1839,1022/1906,Images\La Montagne Sainte-Victoire.jpg
Pablo Picasso,La Vie,1904,Cubism,169.50,129.20,66.73,50.87,,Cleveland Museum of Art,"Cleveland, OH",USA,10/25/1881,4/8/1973,Images\La Vie.jpg
Pieter Bruegel the Elder,Landscape with the Fall of Icarus,1550,Dutch and Flemish Renaissance,73.50,112.00,28.94,44.09,oil paint,Royal Museums of Fine Arts of Beligum,Brussels,Belgium,1525,9/9/1569,Images\Landscape with the Fall of Icarus.jpg
Diego Velázquez,Las Meninas,1656,Baroque,318.00,276.00,125.20,108.66,oil paint,Museo del Prado,Madrid,Spain,6/6/1599,8/6/1660,Images\Las Meninas.jpg
Correggio,Leda and the Swan,1530,"High Renaissance, Mannerist",152.00,191.00,59.84,75.20,oil paint,Staatliche Museen,Berlin,Germany,1489,3/5/1534,Images\Leda and the Swan.jpg
László Moholy-Nagy,LIS,1922,Constructivist,131.00,100.00,51.57,39.37,oil paint,Kunsthaus Zürich,Zürich,Austria,7/20/1895,11/24/1946,Images\LIS.jpg
Auguste Renoir,Luncheon of the Boating Party,1881,French Impressionist,129.90,172.70,51.14,67.99,oil paint,Phillips Collections,"Washington, D.C.",USA,2/25/1841,12/3/1919,Images\Luncheon of the Boating Party.jpg
Raphael,Madonna del Prato,1506,High Renaissance,113.00,88.00,44.49,34.65,oil paint,Kunthistorisches Museum,Vienna,Austria,4/6/1483,4/6/1520,Images\Madonna del Prato.jpg
Stefan Lochner,Madonna in the Rose Bower,1448,Late Gothic,51.00,40.00,20.08,15.75,,Wallraf-Richartz Museum,Cologne,Germany,1400,1452,Images\Madonna in the Rose Bower.jpg
Paul Gauguin,Mahana no atua (Day of the Gods),1894,Post-Impressionist,66.00,87.00,25.98,34.25,oil paint,Art Institute of Chicago,"Chicago, IL",USA,6/7/1848,5/8/1903,Images\Mahana no atua (Day of the Gods).jpg
François Boucher,Marie-Louise O'Murphey,1751,Rococo,59.00,73.00,23.23,28.74,oil paint,Wallraf-Richartz Museum,Cologne,Germany,9/29/1703,5/30/1770,Images\Marie-Louise O'Murphey.jpg
Thomas Eakins,Max Schmitt in a Single Scull,1871,Realist,82.60,117.50,32.52,46.26,oil paint,Metropolitan Museum of Art,"New York City, NY",USA,7/25/1844,7/25/1916,Images\Max Schmitt in a Single Scull.jpg
Karl Friedrich Schinkel,Medieval City on a River,1815,,,,0.00,0.00,oil paint,"Nationalgalerie, Staatliche Museen",Berlin,Germany,3/13/1781,10/9/1841,Images\Medieval City on a River.jpg
Alexej von Jawlensky,Meditation,1934,Russian Expressionist,17.10,13.90,6.73,5.47,oil paint,Christie's Auction House,"New York City, NY",USA,3/13/1864,3/15/1941,Images\Meditation.jpg
Peter Paul Rubens,Mercury and Argus,1638,Baroque,63.00,87.50,24.80,34.45,oil paint,Gemaldegalerie Alte Meister,Dresden,Germany,6/28/1577,5/30/1640,Images\Mercury and Argus.jpg
Kurt Schwitters,"Merzbild 25A, Constellation",1920,Merz,104.50,79.00,41.14,31.10,"collage, oil paint",Kunstsammlung Nordrhein-Westfalen,Dusseldorf,Germany,6/20/1887,1/8/1948,"Images\Merzbild 25A, Constellation.jpg"
Vittore Carpaccio,Miracle of the Relic of the Cross at the Ponte di Rialto,1496,,365.00,389.00,143.70,153.15,tempera,Gallerie dell'Accademia,Venice,Italy,1465,1526,Images\Miracle of the Relic of the Cross at the Ponte di Rialto.jpg
Wolf Vostell,Miss America,1968,"Video Artist, Installation, Happening, Fluxus",200.00,120.00,78.74,47.24,"screen photography, transparent paint, silkscreen",Museum Ludwig,Cologne,Germany,10/14/1932,4/3/1998,Images\Miss America.jpg
Egon Schiele,Mother with Two Children,1917,Expressionist,150.00,160.00,59.06,62.99,oil paint,Osterreichische Galerie Belvedere,Vienna,Austria,6/12/1890,10/31/1918,Images\Mother with Two Children.jpg
Helen Frankenthaler,Mountains and Sea,1952,Abstract Expressionist,220.00,297.80,86.61,117.24,oil paint and charcoal,National Gallery of Art,"Washington, D.C.",USA,12/12/1928,12/27/2011,Images\Mountains and Sea.jpg
Thomas Gainsborough,Mr and Mrs Andrews,1749,,69.08,119.04,27.20,46.87,oil paint,National Gallery,"London, England",United Kingdom,5/14/1727,8/2/1788,Images\Mr and Mrs Andrews.jpg
Edward Hopper,Nighthawks,1942,American Realist,84.10,152.40,33.11,60.00,oil paint,Art Institute of Chicago,"Chicago, IL",USA,7/22/1882,5/15/1967,Images\Nighthawks.jpg
James McNeill Whistler,Nocturne in Black and Gold - The Falling Rocket,1877,Tonalist,60.30,46.60,23.74,18.35,oil paint,Detroit Institute of Arts,"Detroit, MI",USA,7/11/1834,7/17/1903,Images\Nocturne in Black and Gold - The Falling Rocket.jpg
Édouard Manet,Olympia,1863,"Realist, Impressionist",130.50,190.00,51.38,74.80,oil paint,Musée d'Orsay,Paris,France,1/23/1832,4/30/1883,Images\Olympia.jpg
Arshile Gorky,One Year the Milkweed,1944,Abstract Expressionist,94.20,119.30,37.09,46.97,oil paint,National Gallery of Art,"Washington, D.C.",USA,4/15/1904,7/21/1948,Images\One Year the Milkweed.jpg
John Everett Millais,Ophelia,1852,Pre-Raphaelite,76.20,111.80,30.00,44.02,oil paint,Tate Britain,"London, England",United Kingdom,6/8/1829,8/13/1896,Images\Ophelia.jpg
Gustave Caillebotte,"Paris Street, Rainy Day",1877,Impressionist,212.20,276.00,83.54,108.66,oil paint,Art Institute of Chicago,"Chicago, IL",USA,8/19/1848,2/21/1894,"Images\Paris Street, Rainy Day.jpg"
Louis or Antoine Le Nain,Peasant Family,1645,,113.30,159.50,44.61,62.80,oil paint,Louvre Museum,Paris,France,1593 or 1599,1648,Images\Peasant Family.jpg
Antoine Watteau,Pilgrimage on the Isle of Cythera,1717,Rococo,129.00,194.00,50.79,76.38,oil piant,Louvre Museum,Paris,France,10/10/1684,7/18/1721,Images\Pilgrimage on the Isle of Cythera.jpg
Luca Signorelli,Portrait of a Man,1492,Italian Renaissance,50.00,32.00,19.69,12.60,tempera,Gemäldegalerie,Berlin,Germany,1445,10/16/1523,Images\Portrait of a Man.jpg
Albrecht Dürer,Portrait of a Young Venetian Woman,1505,Northern Renaissance,35.00,26.00,13.78,10.24,oil paint,Kunsthistorisches Museum,Vienna,Austria,5/21/1471,4/6/1528,Images\Portrait of a Young Venetian Woman.jpg
Alberto Giacometti,Portrait of Jean Genet,1955,"Surrealist, Expressionist, Cubist, Formalist",73.00,60.00,28.74,23.62,oil paint,Musée National d'Art Moderne,Paris,France,10/10/1901,1/11/1966,Images\Portrait of Jean Genet.jpg
Hyacinthe Rigaud,Portrait of Louis XIV,1701,Baroque,277.00,194.00,109.06,76.38,oil paint,Louvre Museum,Paris,France,7/18/1659,12/29/1743,Images\Portrait of Louis XIV.jpg
Diego Velázquez,Prince Balthasar Carlos on Horseback,1635,Baroque,173.00,209.00,68.11,82.28,oil paint,Museo del Prado,Madrid,Spain,6/6/1599,8/6/1660,Images\Prince Balthasar Carlos on Horseback.jpg
Niklaus Manuel,Pyramus and Thisbe,1520,Northern Renaissance,151.50,161.00,59.65,63.39,tempera,Kunstmuseum Basel,Basel,Switzerland,1484,4/28/1530,Images\Pyramus and Thisbe.jpg
Kangra-School,Radha and Krishna in the Grove,1780,,12.30,17.20,4.84,6.77,watercolor,Victoria & Albert Museum,"London, England",United Kingdom,,,Images\Radha and Krishna in the Grove.jpg
Erich Heckel,Reclining Woman,1913,Expressionist,18.10,10.70,7.13,4.21,wood cut,von Zezschwitz (for sale),Munich,Germany,7/31/1883,1/27/1970,Images\Reclining Woman.jpg
Mark Rothko,"Red, Brown and Black",1958,Abstract Expressionist,270.80,297.80,106.61,117.24,oil paint,Museum of Modern Art,"New York City, NY",USA,11/25/1903,2/25/1970,"Images\Red, Brown and Black.jpg"
Ilya Repin,Reply of the Zaporozhian Cossacks to Sultan Mehmed IV of Turkey,1891,Realist,203.00,358.00,79.92,140.94,,State Russian Museum,Saint Petersburg,Russia,8/5/1844,9/29/1930,Images\Reply of the Zaporozhian Cossacks to Sultan Mehmed IV of Turkey.jpg
Piero della Francesca,Resurrection of Christ,1460,Italian Renaissance,225.00,200.00,88.58,78.74,fresco,Museo Civico,"Sansepolcro, Tuscany",Italy,1415,10/12/1492,Images\Resurrection of Christ.jpg
Antonio Canaletto,Return of the Bucintoro to the Molo on Ascension Day,1732,,77.00,126.00,30.31,49.61,oil paint,"Royal Collection, Windsor Castle","London, England",United Kingdom,10/28/1697,4/19/1768,Images\Return of the Bucintoro to the Molo on Ascension Day.jpg
Annibale Carracci,River Landscape,1595,Baroque,88.30,148.10,34.76,58.31,oil paint,"Samuel H. Kress Collection, National Gallery of Art","Washington, D.C.",USA,11/3/1560,7/15/1609,Images\River Landscape.jpg
Marcel Duchamp,Sad Young Man in a Train,1911,"Dada, Surrealist",100.00,73.00,39.37,28.74,oil paint,Peggy Guggenheim Collection,Venice,Italy,7/28/1887,10/2/1968,Images\Sad Young Man in a Train.jpg
Rogier van der Weyden,Saint Johns Altarpiece,1460,Northern Renaissance,77.00,144.00,30.31,56.69,oil paint,Gemaldegalerie,Berlin,Germany,1399,6/18/1464,Images\Saint Johns Altarpiece.jpg
John Constable,Salisbury Cathedral from the Bishop's Grounds,1823,English Romantic,87.60,111.80,34.49,44.02,oil paint,The Frick Collection,"Manhattan, NY",USA,6/11/1776,3/31/1837,Images\Salisbury Cathedral from the Bishop's Grounds.jpg
Anthony van Dyck,Samson and Delilah,1630,Baroque,148.00,257.00,58.27,101.18,oil paint,Kunsthistorisches Museum,Vienna,Austria,3/22/1599,12/9/1641,Images\Samson and Delilah.jpg
Rembrandt,Self-Portrait as the Apostle Paul,1661,"Dutch Golden Age, Baroque",91.00,77.00,35.83,30.31,oil paint,Rijksmuseum,Amsterdam,Netherlands,7/15/1606,10/4/1669,Images\Self-Portrait as the Apostle Paul.jpg
Élisabeth Vigée-Lebrun,Self-Portrait in a Turban with Julie,1786,"Rococo, Neoclassicist",105.00,84.00,41.34,33.07,oil paint,Louvre Museum,Paris,France,4/16/1755,3/30/1842,Images\Self-Portrait in a Turban with Julie.jpg
