Artist,Title,Year (Approximate),Movement,Total Height (cm),Total Width (cm),Total Height (in),Total Width (in),Media,Location,"City, State",Country,Date of Birth,Date of Death,Image
Lovis Corinth,Self-Portrait in Front of the Easel,1914,"Impressionist, Expressionist",57.00,73.00,22.44,28.74,,Neue Pinakothe,Munich,Germany,7/21/1858,7/17/1925,Images\Self-Portrait in Front of the Easel.jpg
Vincent van Gogh,Self-Portrait with Bandaged Ear,1889,Post-Impressionist,51.00,45.00,20.08,17.72,oil paint,Mr. and Mrs. Leigh B. Block,"Chicago, IL",USA,3/30/1853,7/29/1890,Images\Self-Portrait with Bandaged Ear.jpg
James Ensor,Self-Portrait with Masks,1899,"Expressionist, Surrealist",120.00,80.00,47.24,31.50,oil paint,Menard Art Museum,Komaki City,Japan,4/13/1860,1/19/1949,Images\Self-Portrait with Masks.jpg
Albrecht Dürer,Self-Portrait,1500,Northern Renaissance,67.10,48.70,26.42,19.17,oil paint,Alte Pinakothek,Munich,Germany,5/21/1471,4/6/1528,Images\Self-Portrait.jpg
Nicolas Poussin,Sleeping Venus and Cupid,1630,"Classicist, Baroque",71.00,96.00,27.95,37.80,oil paint,Gemaeldegalerie Alte Meister,Dresden,Germany,6/15/1594,11/19/1665,Images\Sleeping Venus and Cupid.jpg
Giorgione,Sleeping Venus,1508,High Renaissance,108.50,175.00,42.72,68.90,oil paint,Gemäldegalerie Alte Meister,Dresden,Germany,1478,1510,Images\Sleeping Venus.jpg
Victor Pasmore,"Spiral Motif in Green, Violet, Blue and Gold - The Coast of the Inland Sea",1950,Abstract Artist,81.30,100.30,32.01,39.49,oil paint,Tate Britain,"London, England",United Kingdom,12/3/1903,1/23/1998,"Images\Spiral Motif in Green, Violet, Blue and Gold - The Coast of the Inland Sea.jpg"
Arnold Böcklin,Spring Awakening,1880,Symbolist,66.00,130.00,25.98,51.18,oil paint,,,,10/16/1827,1/16/1901,Images\Spring Awakening.jpg
Hans Memling,St. John Altarpiece,1479,Early Netherlandish,176.00,331.50,69.29,130.51,oil paint,"Memlingmuseum, Sint-Janshospitaal",Bruges,Belgium,1430,8/11/1494,Images\St. John Altarpiece.jpg
Emil Nolde,St. Mary of Egypt among Sinners,1912,Expressionist,86.00,100.00,33.86,39.37,oil paint,Kunsthalle (Museum of Art),Hamburg,Germany,8/7/1867,4/13/1956,Images\St. Mary of Egypt among Sinners.jpg
Francisco de Zurbarán,"Still Life with Lemons, Oranges and Rose",1633,Baroque,60.00,107.00,23.62,42.13,oil paint,Norton Simon Museum,"Pasadena, CA",USA,11/7/1598,8/27/1664,"Images\Still Life with Lemons, Oranges and Rose.jpg"
Caravaggio,Supper at Emmaus,1598,Baroque,141.00,196.20,55.51,77.24,oil paint,National Gallery,"London, England",United Kingdom,9/29/1571,7/18/1610,Images\Supper at Emmaus.jpg
Max Beckmann,The Actors,1942,Expressionist,199.39,292.10,78.50,115.00,oil paint,Fogg Museum,"Cambridge, MA",USA,2/12/1884,12/28/1950,Images\The Actors.jpg
Nicolas Poussin,The Adoration of the Golden Calf,1635,"Classicist, Baroque",154.00,214.00,60.63,84.25,oil paint,National Gallery,"London, England",United Kingdom,6/15/1594,11/19/1665,Images\The Adoration of the Golden Calf.jpg
Giovanni Bellini,The Agony in the Garden,1465,Italian Renaissance,81.00,127.00,31.89,50.00,tempera,National Gallery,"London, England",United Kingdom,c. 1430,1516,Images\The Agony in the Garden.jpg
Jan Vermeer,The Artist in His Studio,1670,"Dutch Golden Age, Baroque",130.00,110.00,51.18,43.31,oil paint,Kunthistorisches Museum,Vienna,Austria,10/31/1632,12/15/1675,Images\The Artist in His Studio.jpg
Franz von Lenbach,The Artist with his Wife and Children,1903,German Realist,,,0.00,0.00,,Lenbach House State Gallery,Munich,Germany,12/13/1836,5/6/1904,Images\The Artist with his Wife and Children.jpg
Hans Holbein the Younger,The Artist's Family,1528,Northern Renaissance,76.80,64.00,30.24,25.20,oil paint,Kunstmuseum Basel,Basel,Switzerland,1497,11/29/1543,Images\The Artist's Family.jpg
Piero della Francesca,The Baptism of Christ,1450,Italian Renaissance,168.00,116.00,66.14,45.67,tempera,National Gallery,"London, England",United Kingdom,1415,10/12/1492,Images\The Baptism of Christ.jpg
Paul Cézanne,The Bathers,1900,Post-Impressionist,210.50,250.80,82.87,98.74,oil paint,Philadelphia Museum of Art,"Philadelphia, PA",USA,1/19/1839,1022/1906,Images\The Bathers.jpg
Albrecht Altdorfer,The Battle of Alexander at Issus,1529,German Renaissance,158.40,120.30,62.36,47.36,oil paint,Alte Pinakothek,Munich,Germany,1480,1538,Images\The Battle of Alexander at Issus.jpg
Paolo Uccello,The Battle of San Romano,1456,Early Renaissance,182.00,957.00,71.65,376.77,egg tempera,"National Gallery, Galleria degli Uffizi, Louvre Museum","London, England; Florence; Paris","United Kingdom, Italy, France",1397,12/10/1475,Images\The Battle of San Romano.jpg
Sandro Botticelli,The Birth of Venus,1487,Italian Renaissance,172.50,278.50,67.91,109.65,tempera,Uffizi Gallery,Florence,Italy,1445,5/17/1510,Images\The Birth of Venus.jpg
Oskar Kokoschka,The Bride of the Wind,1914,Expressionist,181.00,220.00,71.26,86.61,oil paint,Kunstmuseum Basel,Basel,Switzerland,3/1/1886,2/22/1980,Images\The Bride of the Wind.jpg
El Greco,The Burial of the Count of Orgaz,1586,Mannerist,460.00,360.00,181.10,141.73,oil paint,Santo Tomé,Toledo,Spain,1541,4/7/1614,Images\The Burial of the Count of Orgaz.jpg
Salvador Dalí,The Burning Giraffe,1936,Surrealist,35.00,27.00,13.78,10.63,oil paint,Kunstmuseum Basel,Basel,Switzerland,5/11/1904,1/23/1989,Images\The Burning Giraffe.jpg
William Turner,The Burning of the Houses of Parliament,1835,Romantic,92.70,123.00,36.50,48.43,oil paint,Cleveland Museum of Art,"Cleveland, OH",USA,4/23/1775,12/19/1851,Images\The Burning of the Houses of Parliament.jpg
Fernand Khnopff,The Caress,1896,Symbolist,50.00,150.00,19.69,59.06,oil paint,Musée Royaux des Beaux-Arts,Brussels,Belgium,9/12/1858,11/12/1921,Images\The Caress.jpg
Peter Paul Rubens,The Château de Steen with Hunter,1637,Baroque,131.20,229.20,51.65,90.24,oil paint,National Gallery,"London, England",United Kingdom,6/28/1577,5/30/1640,Images\The Chateau de Steen with Hunter.jpg
Mary Cassatt,The Child's Bath,1891,Impressionist,100.30,66.10,39.49,26.02,oil paint,Art Institute of Chicago,"Chicago, IL",USA,5/22/1844,6/14/1926,Images\The Child's Bath.jpg
Andrea Mantegna,The Crucifixion,1459,Italian Renaissance,67.00,93.00,26.38,36.61,oil paint,Louvre Museum,Paris,France,1431,9/13/1506,Images\The Crucifixion.jpg
Wilhelm von Kaulbach,The Destruction of Jerusalem by Titus,1846,,585.00,705.00,230.32,277.56,oil paint,Neue Pinakothe,Munich,Germany,10/15/1805,4/7/1874,Images\The Destruction of Jerusalem by Titus.jpg
Georges de la Tour,The Dream of St. Joseph,1640,French Baroque,93.00,81.00,36.61,31.89,oil paint,Musée des Beaux-Arts de Nantes,Nantes,France,3/13/1593,1/30/1652,Images\The Dream of St. Joseph.jpg
René Magritte,The Empire of Light,1954,Surrealism,195.40,131.20,76.93,51.65,oil paint,Peggy Guggenheim Collection,Venice,Italy,11/21/1898,8/15/1967,Images\The Empire of Light.jpg
Johannes Itten,The Encounter,1916,Expressionist,,,0.00,0.00,,,,,11/11/1888,5/27/1967,Images\The Encounter.jpg
Umberto Boccioni,The Farewells,1911,Futurism,70.00,95.00,27.56,37.40,oil paint,Museo del Novecento,Milan,Italy,10/19/1882,8/17/1916,Images\The Farewells.jpg
Adolph von Menzel,The Flute Concert,1852,German Realist,142.00,205.00,55.91,80.71,oil paint,Alte Nationalgalerie,Berlin,Germany,12/8/1815,2/9/1905,Images\The Flute Concert.jpg
Georges de la Tour,The Fortune Teller,1621,French Baroque,101.90,123.50,40.12,48.62,oil paint,Metropolitan Museum of Art,"New York City, NY",USA,3/13/1593,1/30/1652,Images\The Fortune Teller.jpg
Winslow Homer,The Fox Hunt,1893,Realist,96.50,174.00,37.99,68.50,oil paint,Pennsylvania Academy of the Fine Arts,"Philadelphia, PA",USA,2/24/1836,9/29/1910,Images\The Fox Hunt.jpg
Hieronymus Bosch,The Garden of Earthly Delights,1500,Early Netherlandish Renaissance,220.00,389.00,86.61,153.15,oil paint,Museo del Prado,Madrid,Spain,1450,1516,Images\The Garden of Earthly Delights.jpg
Hans von Marées,The Golden Age I,1885,,145.00,190.00,57.09,74.80,oil paint,New Pinakothek,Munich,Germany,12/24/1837,6/5/1887,Images\The Golden Age I.jpg
Georg Baselitz,The Great Friends,1965,Neo-Expressionist,250.00,300.00,98.43,118.11,oil paint,Museum Ludwig,Cologne,Germany,1/23/1938,,Images\The Great Friends.jpg
George Stubbs,The Grosvenor Hunt,1762,Romantic,,,0.00,0.00,oil paint,Trustees of the Grosvenor Estate,"London, England",United Kingdom,8/25/1724,7/10/1806,Images\The Grosvenor Hunt.jpg
August Macke,The Hat Shop,1914,Expressionist,60.00,50.00,23.62,19.69,oil paint,Leopold Hoesch Museum,Duren,Germany,1/3/1887,9/26/1914,Images\The Hat Shop.jpg
Duccio di Buoninsegna,The Healing of the Blind Man,1310,"Sienese school, Gothic style",43.00,45.00,16.93,17.72,tempera,National Gallery,"London, England",United Kingdom,1260,1319,Images\The Healing of the Blind Man.jpg
William Holman Hunt,The Hireling Shepherd,1851,Pre-Raphaelite,76.40,109.50,30.08,43.11,oil paint,Manchester Art Gallery,"Manchester, England",United Kingdom,4/2/1827,9/7/1910,Images\The Hireling Shepherd.jpg
Philipp Otto Runge,The Hülsenbeck Children,1806,German Romantic,131.00,141.00,51.57,55.51,oil paint,Hamburger Kunsthalle,Hamburg,Germany,7/23/1777,12/2/1810,Images\The Hulsenbeck Children.jpg
Gustave Courbet,The Hunt Breakfast,1858,Realism,207.00,325.00,81.50,127.95,oil paint,Wallraf-Richartz Museum,Cologne,Germany,6/1819,12/31/1877,Images\The Hunt Breakfast.jpg
Pieter Bruegel the Elder,The Hunters in the Snow,1565,Dutch and Flemish Renaissance,117.00,162.00,46.06,63.78,oil paint,Kunsthistorisches Museum,Vienna,Austria,1525,9/9/1569,Images\The Hunters in the Snow.jpg
Rembrandt,The Jewish Bride,1666,"Dutch Golden Age, Baroque",121.50,166.50,47.83,65.55,oil paint,Rijksmuseum,Amsterdam,Netherlands,7/15/1606,10/4/1669,Images\The Jewish Bride.jpg
Jacob Izaaksoon van Ruisdael,The Large Forest,1660,,140.00,180.00,55.12,70.87,oil paint,Kunthistorisches Museum,Vienna,Austria,1628,3/4/1692,Images\The Large Forest.jpg
Jacques-Louis David,The Lictors Bring to Brutus the Bodies of His Sons,1789,Neoclassicist,323.00,422.00,127.17,166.14,oil paint,Louvre Museum,Paris,France,8/30/1748,12/29/1825,Images\The Lictors Bring to Brutus the Bodies of His Sons.jpg
Caravaggio,The Lute Player,1596,Baroque,100.00,126.50,39.37,49.80,oil paint,Wildenstein Collection,"New York City, NY",USA,9/29/1571,7/18/1610,Images\The Lute Player.jpg
Giulio Romano,The Madonna and Child with Saint John the Baptist,1524,Italian Renaissance,125.70,85.40,49.49,33.62,oil paint,Walters Art Museum,"Baltimore, MD",USA,1499,11/1/1546,Images\The Madonna and Child with Saint John the Baptist.jpg
Jan van Eyck,The Madonna of Chancellor Rolin,1434,,66.00,62.00,25.98,24.41,oil paint,Louvre Museum,Paris,France,1395,7/9/1441,Images\The Madonna of Chancellor Rolin.jpg
Eugène Delacroix,The Massacre at Chios,1824,Romantic,419.00,354.00,164.96,139.37,oil paint,Louvre Museum,Paris,France,4/26/1798,8/13/1863,Images\The Massacre at Chios.jpg
Richard Lindner,The Meeting,1953,Mechanistic Cubist,152.40,182.90,60.00,72.01,oil paint,Museum of Modern Art,"New York City, NY",USA,11/11/1901,4/16/1978,Images\The Meeting.jpg
Giotto,The Mourning of Christ,1306,Late Gothic,200.00,185.00,78.74,72.83,fresco,Scrovegni Chapel,Padua,Italy,1267,1/8/1337,Images\The Mourning of Christ.jpg
Francisco Goya,The Naked Maja,1800,Romantic,97.00,190.00,38.19,74.80,oil paint,Museo del Prado,Madrid,Spain,3/30/1746,4/16/18828,Images\The Naked Maja.jpg
Caspar David Friedrich,The Polar Sea,1824,German Romantic,126.90,96.70,49.96,38.07,oil piant,Hamburger Kunsthalle,Hamburg,Germany,9/5/1774,5/7/1840,Images\The Polar Sea.jpg
Carl Spitzweg,The Poor Poet,1839,German Romantic,36.20,44.60,14.25,17.56,oil paint,Neue Pinakothe,Munich,Germany,2/5/1808,9/23/1885,Images\The Poor Poet.jpg
Benozzo Gozzoli,The Procession of the Magi,1460,Italian Renaissance,,,0.00,0.00,fresco,Medici Riccardi Palace,Florence,Italy,1421,1497,Images\The Procession of the Magi.jpg
Théodore Géricault,The Raft of the Medusa,1819,Romantic,491.00,716.00,193.31,281.89,oil paint,Louvre Museum,Paris,France,11/26/1791,1/26/1824,Images\The Raft of the Medusa.jpg
Bartolomé Esteban Murillo,The Rest on the Flight into Egypt,1665,Baroque,136.21,179.39,53.63,70.63,oil paint,Hermitage Museum,St. Petersburg,Russia,12/31/1617,4/3/1682,Images\The Rest on the Flight into Egypt.jpg
Stanley Spencer,The Resurrection,1927,,274.30,548.60,107.99,215.98,oil paint,Tate Britain,"London, England",United Kingdom,6/30/1891,12/14/1959,Images\The Resurrection.jpg
Edvard Munch,The Scream,1893,Expressionist,91.00,73.50,35.83,28.94,"oil paint, tempera, pastel",National Gallery,Oslo,Norway,12/12/1863,1/23/1944,Images\The Scream.jpg
Wilhelm von Kobell,The Siege of Cosel,1808,,202.00,305.00,79.53,120.08,oil paint,Neue Pinakothe,Munich,Germany,4/6/1766,7/15/1853,Images\The Siege of Cosel.jpg
Henry Raeburn,The Skating Minister,1784,,30.00,25.00,11.81,9.84,oil paint,National Gallery of Scotland,Edinburgh,Scotland,3/4/1756,7/8/1823,Images\The Skating Minister.jpg
Francisco Goya,The Sleep of Reason Produces Monsters,1799,Romantic,21.80,15.20,8.58,5.98,"aquatint, etching",Private Collection,,,3/30/1746,4/16/18828,Images\The Sleep of Reason Produces Monsters.jpg
Lorenzo Lotto,"The Sleeping Child Jesus with the Madonna, St. Joseph and St. Catherine of Alexandria ",1533,High Renaissance,115.00,81.50,45.28,32.09,oil paint,Galleria dell'Accademia Carrara,Bergamo,Italy,1480,1557,"Images\The Sleeping Child Jesus with the Madonna, St. Joseph and St. Catherine of Alexandria.jpg"
Henri Rousseau,The Sleeping Gypsy,1897,Post-Impressionist,129.50,200.70,50.98,79.02,oil paint,Museum of Modern Art,"New York City, NY",USA,5/21/1844,9/2/1910,Images\The Sleeping Gypsy.jpg
William McTaggart,The Storm,1890,Scottish landscape painter,122.00,183.00,48.03,72.05,oil paint,National Gallery of Scotland,Edinburgh,Scotland,10/25/1835,4/2/1910,Images\The Storm.jpg
Diego Velázquez,The Surrender of Breda,1634,Baroque,307.00,367.00,120.87,144.49,oil paint,Museo del Prado,Madrid,Spain,6/6/1599,8/6/1660,Images\The Surrender of Breda.jpg
Mikhail Nesterov,The Taking of the Veil,1898,Russian Symbolist,195.00,178.00,76.77,70.08,oil paint,State Russian Museum,St. Petersburg,Russia,5/31/1862,10/18/1942,Images\The Taking of the Veil.jpg
Masaccio,The Tribute Money,1425,Early Renaissance,247.00,597.00,97.24,235.04,fresco,Brancacci Chapel,Florence,Italy,12/21/1401,1428,Images\The Tribute Money.jpg
Pieter Bruegel the Elder,The Triumph of Death,1562,Dutch and Flemish Renaissance,117.00,162.00,46.06,63.78,oil paint,Museo del Prado,Madrid,Spain,1525,9/9/1569,Images\The Triumph of Death.jpg
Jean Auguste Dominique Ingres,The Turkish Bath,1862,Neoclassicist,108.00,108.00,42.52,42.52,oil paint,Louvre Museum,Paris,France,8/29/1780,1/14/1867,Images\The Turkish Bath.jpg
Leonardo da Vinci,The Virgin and Child with Saint Anne,1510,High Renaissance,168.00,112.00,66.14,44.09,oil paint,Louvre Museum,Paris,France,4/15/1452,5/2/1519,Images\The Virgin and Child with Saint Anne.jpg
Konrad Klapheck,The War,1965,"Realist, Surrealist, Pop Artist",,,0.00,0.00,oil paint,Kunstsammlung Nordrhein-Westfalen,Düsseldorf,Germany,2/10/1935,,Images\The War.jpg
Paolo Veronese,The Wedding at Cana,1563,Renaissance,666.00,990.00,262.20,389.76,oil paint,Louvre Museum,Paris,France,1528,1588,Images\The Wedding at Cana.jpg
Jean Siméon Chardin,The Young Schoolmistress,1736,,66.00,61.00,25.98,24.02,,National Gallery,"London, England",United Kingdom,11/2/1699,12/6/1779,Images\The Young Schoolmistress.jpg
Francis Bacon,Three Studies for Figures at the Base of a Crucifixion,1944,British Expressionist,94.00,222.00,37.01,87.40,oil paint and pastel,Tate Britain,"London, England",United Kingdom,10/28/1909,4/28/1992,Images\Three Studies for Figures at the Base of a Crucifixion.jpg
Wilhelm Leibl,Three Women in Church,1882,German Realist,113.00,77.00,44.49,30.31,oil paint,Kunsthalle (Museum of Art),Hamburg,Germany,10/23/1844,12/4/1900,Images\Three Women in Church.jpg
Franz Marc,Tiger,1912,Cubism,111.00,111.50,43.70,43.90,oil paint,Lenbach House State Gallery,Munich,Germany,2/8/1880,3/4/1916,Images\Tiger.jpg
Henry Fuseli,Titania Caressing the Ass-Headed Bottom,1793,Romantic,169.00,135.00,66.54,53.15,oil paint,Kunsthaus Zürich,Zürich,Switzerland,2/7/1741,4/16/1825,Images\Titania Caressing the Ass-Headed Bottom.jpg
Reginald Marsh,Twenty Cent Movie,1936,Social Realism,76.20,101.60,30.00,40.00,egg tempera,Whitney Museum of American Art,"New York City, NY",USA,3/14/1898,7/3/1954,Images\Twenty Cent Movie.jpg
Paul Klee,Twittering Machine,1922,"Expressionist, Bauhaus, Surrealist",63.80,48.10,25.12,18.94,"watercolor, pen and ink",Museum of Modern Art,"New York City, NY",USA,12/18/1879,6/29/1940,Images\Twittering Machine.jpg
George Grosz,Untitled,1920,"Dada, New Objectivity",81.00,60.00,31.89,23.62,oil paint,Kunstsammlung Nordrhein-Westfalen,Dusseldorf,Germany,7/26/1893,7/6/1959,Images\Untitled.jpg
Francis Picabia,Very Rare Picture on the Earth,1915,"Dada, Surrealist",125.70,97.80,49.49,38.50,oil and metallic paint,Peggy Guggenheim Collection,Venice,Italy,1/22/1879,11/30/1953,Images\Very Rare Picture on the Earth.jpg
Jan Vermeer,View of Delft,1660,"Dutch Golden Age, Baroque",98.50,117.50,38.78,46.26,oil paint,Mauritshuis,The Hague,Netherlands,10/31/1632,12/15/1675,Images\View of Delft.jpg
El Greco,View of Toledo,1610,Mannerist,121.30,108.60,47.76,42.76,oil paint,Metropolitan Museum of Art,"New York City, NY",USA,1541,4/7/1614,Images\View of Toledo.jpg
Gabriele Münter,Village Street in Winter,1911,German Expressionist,,,0.00,0.00,,,,,2/19/1877,5/19/1962,Images\Village Street in Winter.jpg
Georges Braque,Violin and Candlestick,1910,Analytic Cubist,60.96,50.17,24.00,19.75,oil paint,San Francisco Museum of Modern Art,"San Francisco, CA",USA,5/13/1882,8/31/1963,Images\Violin and Candlestick.jpg
Giovanni Battista Tiepolo,Virtue and Nobility Putting Ignorance to Flight,1745,Baroque,64.00,35.00,25.20,13.78,oil paint,Villa Coredellina,"Montecchio Maggiore, Vincenza, Veneto",Italy,3/5/1696,3/27/1770,Images\Virtue and Nobility Putting Ignorance to Flight.jpg
Tawaraya S?tatsu,Waves of Matsushima,1630,Rimpa school,166.00,369.90,65.35,145.63,"ink, color, gold and silver",Freer Gallery of Art,"Washington, D.C.",USA,,,Images\Waves of Matsushima.jpg
Honoré Daumier,We Want Barabbas (Ecce Homo),1852,Realist,163.00,130.00,64.17,51.18,oil paint,Museum Folkwant,Essen,Germany,2/26/1808,2/10/1879,Images\We Want Barabbas (Ecce Homo).jpg
David Wilkie,"William Chalmers Bethune, his wife Isabella Morison and their Daughter Isabella",1804,Romantic,74.00,61.00,29.13,24.02,oil paint,National Gallery of Scotland,Edinburgh,Scotland,11/18/1785,6/1/1841,"Images\William Chalmers Bethune, his wife Isabella Morison and their Daughter Isabella.jpg"
Hendrick Avercamp,Winter Scene on a Canal,1630,Flemish,29.40,46.40,11.57,18.27,oil paint,Toledo Museum of Art,"Toledo, OH",USA,1585,1634,Images\Winter Scene on a Canal.jpg
Fernand Léger,Woman in Blue,1912,Cubism,193.00,129.90,75.98,51.14,oil paint,Kunstmuseum Basel,Basel,Switzerland,2/4/1881,8/17/1955,Images\Woman in Blue.jpg
Edgar Degas,Woman in the Bath,1886,Impressionist,70.00,70.00,27.56,27.56,pastel,Hill-Stead Museum,"Farmington, CT",USA,7/19/1834,9/27/1917,Images\Woman in the Bath.jpg
Claude Monet,Women in the Garden,1867,Impressionist,255.00,205.00,100.39,80.71,oil paint,Musée d'Orsay,Paris,France,11/14/1840,12/5/1926,Images\Women in the Garden.jpg
Ferdinand Hodler,Youth Amired by Women,1903,Symbolist,,,0.00,0.00,,Kunsthaus Zürich,Zürich,Switzerland,3/14/1853,5/19/1918,Images\Youth Admired by Women.jpg

